Category,Move,Equipment,Body,Variations,Plank,Back,Sit/Kneel,Stand (narrow),Stand (Wide),Hinge (Lunge),Variation Count
1) Push,Push-up,,Chest,"Wide, tricep, diamond, hand release, knees",X,,,,,,6
1) Push,Tricep overhead,,Tricep,,,X,X,X,X,,1
1) Push,Lying Maltese Press,,Chest,,,X,,,,,1
1) Push,Chest press,,Chest,,,X,,,,X,1
1) Push,Overhead press,,Shoulder,"Narrow, wide, oblique, Arnold",,,X,X,X,,5
1) Push,Lateral raise,,Shoulder,"V, L, front",,,X,X,X,,4
1) Push,Tricep kickbacks,,Tricep,,,,X,,X,X,1
1) Push,Cuban press,,Shoulder,,,,,X,,,1
1) Push,Chest fly,,Back,,,,,,X,X,1
1) Push,Calf raise,,Lower,,,,,X,X,,1
2) Pull,Pull thru,,Core,,X,,,,,,1
2) Pull,Ankle taps,,Core,Weights,X,,,,,,2
2) Pull,Superman,,Back,,X,,,,,,1
2) Pull,Lateral pull thru ,,Shoulder,,,X,,,,,1
2) Pull,Band pulldown,,Shoulder,,,,X,X,X,X,1
2) Pull,Row,,Back,"Wide, narrow, reverse, renegade",X,,X,X,X,X,5
2) Pull,Bicep curl,,Bicep,,,,X,X,X,,1
2) Pull,Hammer curl,,Bicep,,,,X,X,X,,1
2) Pull,Cross body curl,,Bicep,,,,X,X,X,,1
2) Pull,Banded row,,Back,,,,X,,,X,1
2) Pull,Upright row ,,Shoulder,Pull apart,,,,X,X,,2
3) Squat ,"Squat walk, banded",,Lower,,,,,X,X,,1
3) Squat ,Squat ,,Lower,"Elevator, calf raise, jump, band, narrow, pistol, figure 4, sissy (quad), chair, glute kickback, toe tap, heels elevated (quad)",,,,X,,,13
3) Squat ,Squat to fold,,Lower,,,,,X,,,1
3) Squat ,Sumo squat,,Lower,,,,,X,X,,1
4) Lunge,Kneeling lunge,,Lower,"Twists, side reach, quad grab, Samson stretch, lizard",X,,,,,X,6
